net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
-3.627933294,1459.32,-0.13,426.050,-0.39,"1,384.75",-0.29
8.213470037,1461.05,0.12,424.110,-0.46,"1,396.23",0.83
4.464432611,1460.26,-0.05,422.630,-0.35,"1,391.62",-0.33
12.63292667,1460.15,-0.01,423.730,0.26,"1,376.15",-1.11
-2.956602762,1456.89,-0.22,425.540,0.43,"1,388.74",0.91
4.351974746,1441.59,-1.05,426.650,0.26,"1,386.52",-0.16
9.475493663,1433.32,-0.57,427.640,0.23,"1,365.99",-1.48
9.600899045,1447.15,0.96,424.520,-0.73,"1,389.59",1.73
-3.406617094,1440.67,-0.45,423.700,-0.19,"1,380.89",-0.63
1.763553054,1444.49,0.27,#N/A,#N/A,"1,385.06",0.30
2.004247181,1445.75,0.09,422.180,#N/A,"1,402.90",1.29
2.880528679,1450.99,0.36,424.010,0.43,"1,418.50",1.11
2.686492059,1461.40,0.72,426.300,0.54,"1,420.14",0.12
-4.594316212,1460.93,-0.03,427.840,0.36,"1,406.86",-0.94
2.028531835,1455.88,-0.35,#N/A,#N/A,"1,407.45",0.04
3.829486446,1441.48,-0.99,431.180,#N/A,"1,413.05",0.40
1.35983581,1432.56,-0.62,431.210,0.01,"1,428.76",1.11
5.323205152,1432.84,0.02,432.110,0.21,"1,427.64",-0.08
6.495588146,1428.59,-0.30,432.770,0.15,"1,423.29",-0.30
2.180927731,1440.13,0.81,430.520,-0.52,"1,429.90",0.46
4.048815097,1454.92,1.03,431.350,0.19,"1,419.59",-0.72
-2.632532668,1460.91,0.41,429.000,-0.54,"1,439.63",1.41
-1.931220488,1457.34,-0.24,430.700,0.40,"1,472.05",2.25
-1.969251068,1433.19,-1.66,431.440,0.17,"1,464.17",-0.54
-2.008809572,1433.82,0.04,433.230,0.41,"1,481.37",1.17
3.319535863,1413.11,-1.44,432.650,-0.13,"1,482.31",0.06
-1.984126186,1408.75,-0.31,433.770,0.26,"1,474.14",-0.55
-2.024290667,1412.97,0.30,433.370,-0.09,"1,452.70",-1.45
1.236137082,1411.94,-0.07,433.560,0.04,"1,444.31",-0.58
3.583996121,#N/A,#N/A,436.030,0.57,"1,431.56",-0.88
1.083879346,#N/A,#N/A,437.980,0.45,"1,416.72",-1.04
4.410285559,1412.16,#N/A,433.550,-1.01,"1,415.60",-0.08
-2.613539578,1427.59,1.09,435.130,0.36,"1,414.97",-0.04
-3.833826543,1414.20,-0.94,435.270,0.03,"1,419.13",0.29
4.732002173,1417.26,0.22,433.740,-0.35,"1,422.62",0.25
-1.903271405,1428.39,0.79,432.160,-0.36,"1,415.61",-0.49
-3.880397301,1394.53,-2.37,434.570,0.56,"1,411.75",-0.27
1.173441623,1377.51,-1.22,436.250,0.39,"1,423.84",0.86
-1.99511396,1379.85,0.17,435.220,-0.24,"1,427.33",0.25
1.528746739,1380.03,0.01,437.200,0.45,"1,427.98",0.05
1.40369119,1374.53,-0.40,436.680,-0.12,"1,419.70",-0.58
-1.977321052,1355.49,-1.39,433.980,-0.62,"1,418.33",-0.10
1.93164218,1353.33,-0.16,435.470,0.34,"1,409.87",-0.60
-1.978980895,1359.88,0.48,436.350,0.20,"1,424.55",1.04
-2.018935238,1386.89,1.99,434.630,-0.39,"1,432.10",0.53
1.668306598,1387.81,0.07,434.680,0.01,"1,435.35",0.23
3.190213948,1391.03,0.23,432.020,-0.61,"1,414.23",-1.47
-3.92813248,#N/A,#N/A,432.720,0.16,"1,423.52",0.66
2.230223864,1409.15,#N/A,432.900,0.04,"1,421.96",-0.11
-1.999772473,1406.29,-0.20,430.580,-0.54,"1,427.39",0.38
-2.040579418,1398.94,-0.52,429.840,-0.17,"1,423.90",-0.24
-2.083086451,1409.93,0.79,432.880,0.71,"1,425.81",0.13
1.722444403,1415.95,0.43,432.560,-0.07,"1,431.40",0.39
-4.182758463,1416.18,0.02,429.940,-0.61,"1,424.04",-0.51
1.700785921,1409.46,-0.47,431.020,0.25,"1,424.24",0.01
-2.14617345,1407.05,-0.17,431.320,0.07,"1,412.72",-0.81
3.239253085,1409.28,0.16,433.920,0.60,"1,424.25",0.82
