net balance,SP,BofA,MCSI
4.61,-0.24,-0.64,-0.13
12.90,0.67,0.14,-0.47
-0.93,-0.83,-0.66,-0.06
-9.99,0.72,-0.23,-2.02
-7.62,-0.33,0.15,1.03
23.91,0.78,0.17,-0.12
13.81,-0.06,0.48,0.68
22.57,0.41,-0.27,-1.68
0.00,#N/A,0.28,-0.95
1.34,#N/A,-0.24,0.38
4.40,0.52,0.36,0.16
1.31,-1.05,-0.01,-0.56
-0.97,0.40,0.14,1.71
4.88,-0.43,0.17,0.94
-1.56,0.63,0.00,-0.02
0.01,0.35,-0.18,0.78
-3.24,1.22,0.25,-1.33
-1.49,0.36,-0.04,-1.81
-8.32,-0.28,0.01,-0.55
3.84,-2.30,0.38,-0.96
5.86,1.43,0.15,-0.34
-1.65,-1.43,0.25,-1.19
-3.36,-0.67,-0.06,-1.27
1.51,0.88,-0.76,1.03
3.60,0.47,0.45,0.19
0.46,1.04,0.09,0.70
-3.01,0.00,-0.48,-0.50
-4.23,0.40,-0.53,1.43
1.38,-0.18,-0.19,1.97
5.35,0.72,0.09,-0.84
-2.95,0.25,-0.12,-1.12
2.90,-0.93,-0.20,-0.97
-0.96,0.94,0.81,-0.41
-2.05,1.05,-0.45,0.60
5.03,0.19,0.53,0.16
-5.24,0.52,-0.08,0.76
4.83,0.41,-0.02,0.12
2.46,-0.37,0.34,-0.30
-4.51,0.43,0.22,-0.79
5.91,0.00,-0.08,-0.48
3.63,1.01,-0.13,-0.53
-6.20,0.51,-0.19,-0.43
1.00,-0.50,0.75,-0.61
-3.22,1.03,-0.06,0.07
10.64,-0.07,-0.28,-0.38
2.58,0.17,0.47,-1.92
-6.74,-0.83,-0.27,1.19
-9.44,-0.29,0.27,-0.67
8.60,-0.06,0.23,1.68
2.42,#N/A,0.18,-0.84
0.28,#N/A,-0.25,-0.51
-0.78,-0.70,0.17,-0.25
2.13,0.37,-0.28,0.64
4.39,-1.43,-0.18,-1.98
-7.02,0.59,0.52,0.53
-6.33,-0.55,-0.02,0.00
-4.95,-1.38,0.11,-1.11
4.98,0.85,-0.12,-0.66
-5.40,1.28,-0.08,-1.57
-1.28,-0.03,0.02,-0.37
5.40,-1.02,0.01,1.34
-2.63,-0.84,0.39,-0.82
-3.54,1.48,0.21,0.46
-8.04,-0.59,0.16,-0.70
0.00,0.76,-0.08,-0.01
10.53,0.78,0.07,3.77
-3.41,-1.39,0.43,-0.87
-22.48,-2.50,-0.24,-0.38
1.81,0.27,-0.07,0.94
8.32,-1.21,-0.76,-0.74
-1.99,0.95,-0.20,-0.88
-6.68,0.96,-2.34,0.84
5.03,0.62,-0.53,-0.88
5.38,-0.43,-1.77,0.59
13.15,0.54,-0.27,2.37
12.79,-0.05,0.87,-0.90
1.76,0.08,-0.38,0.08
15.98,#N/A,0.52,-2.36
5.02,#N/A,-1.44,0.56
-7.75,0.53,-0.90,0.07
3.27,0.72,0.74,0.58
3.66,0.02,-1.12,0.54
-2.93,1.36,-0.61,0.44
