net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
29.10170715,1342.84,1.033782259,414.9,-0.2260484802,1524.37,0.71753738
22.19773087,1344.78,0.1444699294,414,-0.2169197397,1523.38,-0.06494486247
-1.931220488,1357.98,0.9815731941,412.45,-0.3743961353,1520.76,-0.1719859785
-3.938502135,1355.69,-0.1686328223,412.94,0.1188022791,1518.8,-0.128882927
0,1325.51,-2.22617265,413.01,0.01695161525,1525.35,0.4312615223
2.842258768,1335.02,0.7174596948,413.19,0.04358247984,1538.59,0.8679975088
-1.248000573,1313.72,-1.595481716,412.28,-0.2202376631,1537.74,-0.05524538701
-0.02029682628,1319.99,0.4772706513,409.81,-0.5991074027,1571.49,2.194779352
-7.501804346,1331.85,0.8984916552,411.26,0.3538225031,1567.66,-0.2437177456
1.700785921,1329.04,-0.2109847205,411.58,0.07780965812,1577.23,0.6104640037
-6.854723446,1362.16,2.492024318,412.12,0.1312017105,1575.43,-0.114124129
-0.8548110433,1365.51,0.2459329301,412.14,0.00485295545,1572.03,-0.2158140952
-11.9427617,1374.02,0.6232103756,413.31,0.283884117,1560.56,-0.7296298417
-8.428961199,#N/A,#N/A,413.39,0.01935593138,1555.57,-0.3197570103
-0.60842475,1367.58,#N/A,413.51,0.02902827838,1530.97,-1.581413887
1.805749268,1354.68,-0.9432720572,414,0.1184977389,1533.79,0.184196947
1.457178891,1352.46,-0.1638763398,414.63,0.152173913,1519.96,-0.9016879755
16.81206886,1341.47,-0.8125933484,414.62,-0.002411788824,1499.15,-1.369114977
4.383396688,1341.45,-0.001490901772,415.22,0.1447108195,1512.03,0.8591535203
-6.805282483,1334.76,-0.498714078,412.98,-0.5394730504,1514.2,0.143515671
12.16676078,1356.78,1.649734784,413.16,0.04358564579,1517.82,0.239070136
3.524113132,1353.64,-0.2314302982,412.96,-0.04840739665,1495.95,-1.440882318
-18.30508423,1363.67,0.7409651015,413.23,0.06538163503,1516.58,1.379056787
-6.697171648,1372.78,0.6680501881,413.03,-0.04839919657,1503.73,-0.8473011645
-2.791248497,1376.51,0.2717114177,412.53,-0.1210565818,1502.8,-0.06184620909
-7.747269259,1362.66,-1.006167772,412.96,0.1042348435,1525.48,1.509182859
-12.03111628,1350.52,-0.8909045543,413.44,0.1162340178,1512.23,-0.8685790702
13.57944714,1338.31,-0.9040962,415.68,0.5417956656,1495.14,-1.130119096
10.07067895,1337.89,-0.03138286346,416.59,0.2189183988,1467.82,-1.827253635
-0.7252325764,1360.02,1.654097123,418.64,0.4920905447,1474.57,0.4598656511
8.389807557,1385.97,1.908060176,418.77,0.03105293331,1433.7,-2.771655466
-6.385556114,1385.3,-0.0483415947,418.81,0.009551782601,1457.38,1.651670503
-4.027504384,1379.32,-0.4316754494,420.54,0.4130751415,1487.32,2.054371543
1.794898537,1375.14,-0.3030478787,420.07,-0.1117610691,1473.01,-0.9621332329
14.62413275,1365,-0.7373794668,419.48,-0.1404527817,1519.99,3.189387716
11.91097969,1390.99,1.904029304,419.71,0.05482978926,1502.1,-1.176981428
9.802966903,1394.23,0.2329276271,419.55,-0.03812156012,1491.76,-0.6883696159
3.2266343,1401.35,0.5106761438,417.56,-0.4743177214,1497.34,0.3740548077
-0.09129011154,1402.22,0.0620829914,419.97,0.5771625635,1509.92,0.8401565443
-3.176457435,1402.8,0.04136298156,421.53,0.3714551039,1507.57,-0.1556373848
5.072025391,1405.87,0.2188480182,421.13,-0.09489241572,1500.18,-0.4901928269
-6.875008335,1404.11,-0.1251893845,420.57,-0.1329755657,1511.66,0.7652415044
-2.089672221,1403.93,-0.01281950844,421.16,0.1402858026,1494.08,-1.162959925
-0.3361673057,1405.53,0.113965796,422.22,0.2516858201,1495.6,0.1017348469
-8.333015593,1415.51,0.7100524357,423.22,0.2368433518,1491.26,-0.2901845413
-1.674234709,1418.16,0.1872116764,423.4,0.04253107131,1493.6,0.1569142872
-6.687778518,1418.13,-0.00211541716,422.12,-0.3023145961,1490.79,-0.1881360471
10.91993637,1413.17,-0.3497563693,422.04,-0.01895195679,1494.48,0.2475197714
2.259772478,1413.49,0.02264412633,424.6,0.6065775756,1482.72,-0.7868957765
2.154983836,1402.08,-0.807221841,424.58,-0.004710315591,1501.64,1.276033236
0,1411.13,0.645469588,426.47,0.4451457911,1490.21,-0.7611677899
0.4645019217,1410.44,-0.04889698327,427.09,0.1453795109,1479.24,-0.7361378598
14.83033328,1409.3,-0.08082584158,427.83,0.173265588,1470.3,-0.6043644033
8.878347332,1410.49,0.08443908323,427.89,0.01402426197,1486.67,1.113378222
6.702253882,1399.48,-0.7805797985,427.85,-0.009348196967,1464.44,-1.495288127
-4.558758768,1406.58,0.5073312945,431.7,0.8998480776,1474.97,0.7190461883
-4.841365092,#N/A,#N/A,429.57,-0.4933981932,1470.86,-0.2786497352
2.30677881,1404.94,#N/A,427.44,-0.4958446819,1466.74,-0.280108236
4.905585116,1403.44,-0.1067661252,428.52,0.252667041,1463.41,-0.2270341028
3.464868633,1432.12,2.043550134,428.14,-0.08867730794,1464.42,0.06901688522
-0.6973397016,1437.92,0.4049939949,430.21,0.48348671,1440.83,-1.610876661
-1.588959766,1429.08,-0.6147769,429.98,-0.05346226262,1445.69,0.3373055808
-0.4580938855,1433.56,0.3134883981,429.52,-0.1069817201,1439.34,-0.4392366275
6.95062744,1436.56,0.2092692318,427.33,-0.5098714844,1438.62,-0.05002292717
0.7348967144,1459.99,1.630979562,424.61,-0.6365104252,1421.2,-1.210882651
