,good_date,Net Balance NO VIG,Net Balance WITH VIG
2092,2008-03-10,20440.499750251478,12152.011773128495
2093,2008-03-10,20190.499750251478,11902.011773128495
2094,2008-03-11,20190.499750251478,11902.011773128495
2095,2008-03-11,19940.499750251478,11652.011773128495
2096,2008-03-11,19940.499750251478,11652.011773128495
2097,2008-03-11,19940.499750251478,11652.011773128495
2098,2008-03-11,19940.499750251478,11652.011773128495
2099,2008-03-11,20094.56137490134,11794.868915985639
2100,2008-03-11,20094.56137490134,11794.868915985639
2101,2008-03-11,20094.56137490134,11794.868915985639
2102,2008-03-11,19594.56137490134,11294.868915985639
2103,2008-03-11,19594.56137490134,11294.868915985639
2104,2008-03-11,19094.56137490134,10794.868915985639
2105,2008-03-11,19094.56137490134,10794.868915985639
2106,2008-03-11,19094.56137490134,10794.868915985639
2107,2008-03-11,18844.56137490134,10544.868915985639
2108,2008-03-11,18594.56137490134,10294.868915985639
2109,2008-03-11,18594.56137490134,10294.868915985639
2110,2008-03-11,18594.56137490134,10294.868915985639
2111,2008-03-11,18903.33797064602,10582.368915985639
2112,2008-03-12,18903.33797064602,10582.368915985639
2113,2008-03-12,18903.33797064602,10582.368915985639
2114,2008-03-12,18403.33797064602,10082.368915985639
2115,2008-03-12,18403.33797064602,10082.368915985639
2116,2008-03-12,18403.33797064602,10082.368915985639
2117,2008-03-12,18403.33797064602,10082.368915985639
2118,2008-03-12,18153.33797064602,9832.368915985639
2119,2008-03-12,18153.33797064602,9832.368915985639
2120,2008-03-12,18153.33797064602,9832.368915985639
2121,2008-03-12,17653.33797064602,9332.368915985639
2122,2008-03-12,17653.33797064602,9332.368915985639
2123,2008-03-12,17653.33797064602,9332.368915985639
2124,2008-03-13,17653.33797064602,9332.368915985639
2125,2008-03-13,17998.33797064602,9657.368915985639
2126,2008-03-13,17998.33797064602,9657.368915985639
2127,2008-03-13,17748.33797064602,9407.368915985639
2128,2008-03-13,17748.33797064602,9407.368915985639
2129,2008-03-13,18065.985029469546,9701.486563044462
2130,2008-03-13,18731.80135600016,10326.486563044462
2131,2008-03-13,18731.80135600016,10326.486563044462
2132,2008-03-13,18731.80135600016,10326.486563044462
2133,2008-03-13,18731.80135600016,10326.486563044462
2134,2008-03-13,18731.80135600016,10326.486563044462
2135,2008-03-13,18731.80135600016,10326.486563044462
2136,2008-03-13,18231.80135600016,9826.486563044462
2137,2008-03-13,18231.80135600016,9826.486563044462
2138,2008-03-13,18231.80135600016,9826.486563044462
2139,2008-03-13,18231.80135600016,9826.486563044462
2140,2008-03-14,18231.80135600016,9826.486563044462
2141,2008-03-14,18231.80135600016,9826.486563044462
2142,2008-03-14,17731.80135600016,9326.486563044462
2143,2008-03-14,17904.964774291013,9478.66047608794
2144,2008-03-14,17904.964774291013,9478.66047608794
2145,2008-03-14,18498.443035160577,10028.66047608794
2146,2008-03-14,18148.443035160577,9678.66047608794
2147,2008-03-14,18377.609701827245,9886.993809421274
2148,2008-03-14,18127.609701827245,9636.993809421274
2149,2008-03-14,18300.773120118098,9789.167722464752
2150,2008-03-15,17950.773120118098,9439.167722464752
2151,2008-03-15,18211.847317238808,9677.26296055999
2152,2008-03-15,18765.418745810235,10202.26296055999
2153,2008-03-15,18765.418745810235,10202.26296055999
2154,2008-03-15,19407.085412476903,10802.26296055999
2155,2008-03-15,19407.085412476903,10802.26296055999
2156,2008-03-15,19846.109802720806,11202.26296055999
2157,2008-03-15,19846.109802720806,11202.26296055999
2158,2008-03-15,20560.325488995317,11877.26296055999
2159,2008-03-15,20560.325488995317,11877.26296055999
2160,2008-03-15,20060.325488995317,11377.26296055999
2161,2008-03-15,20235.87407833701,11536.3538696509
2162,2008-03-15,20235.87407833701,11536.3538696509
2163,2008-03-15,20544.65067408169,11823.8538696509
2164,2008-03-15,20544.65067408169,11823.8538696509
2165,2008-03-15,20544.65067408169,11823.8538696509
2166,2008-03-15,20044.65067408169,11323.8538696509
2167,2008-03-15,20202.715190210725,11463.8538696509
2168,2008-03-15,20202.715190210725,11463.8538696509
2169,2008-03-15,20202.715190210725,11463.8538696509
2170,2008-03-16,20202.715190210725,11463.8538696509
2171,2008-03-16,20202.715190210725,11463.8538696509
2172,2008-03-16,20202.715190210725,11463.8538696509
2173,2008-03-16,20202.715190210725,11463.8538696509
2174,2008-03-16,19702.715190210725,10963.8538696509
2175,2008-03-16,19912.116899612436,11158.298314095346
2176,2008-03-16,19912.116899612436,11158.298314095346
2177,2008-03-16,20245.025062877743,11470.798314095346
2178,2008-03-16,20245.025062877743,11470.798314095346
2179,2008-03-16,20245.025062877743,11470.798314095346
2180,2008-03-16,19745.025062877743,10970.798314095346
2181,2008-03-16,19745.025062877743,10970.798314095346
2182,2008-03-16,20864.46950732219,12020.798314095346
2183,2008-03-16,20864.46950732219,12020.798314095346
2184,2008-03-17,20864.46950732219,12020.798314095346
2185,2008-03-17,21097.688168171324,12232.662720875007
2186,2008-03-17,21097.688168171324,12232.662720875007
2187,2008-03-17,21097.688168171324,12232.662720875007
2188,2008-03-18,21097.688168171324,12232.662720875007
2189,2008-03-18,20847.688168171324,11982.662720875007
2190,2008-03-18,20847.688168171324,11982.662720875007
2191,2008-03-18,21132.410390393547,12245.162720875007
2192,2008-03-18,21132.410390393547,12245.162720875007
2193,2008-03-18,21132.410390393547,12245.162720875007
2194,2008-03-18,21132.410390393547,12245.162720875007
2195,2008-03-18,21132.410390393547,12245.162720875007
2196,2008-03-18,22080.79748716774,13145.162720875007
2197,2008-03-18,21730.79748716774,12795.162720875007
2198,2008-03-18,21730.79748716774,12795.162720875007
2199,2008-03-18,21230.79748716774,12295.162720875007
2200,2008-03-18,20980.79748716774,12045.162720875007
2201,2008-03-18,20980.79748716774,12045.162720875007
2202,2008-03-18,20980.79748716774,12045.162720875007
2203,2008-03-18,20730.79748716774,11795.162720875007
2204,2008-03-19,20730.79748716774,11795.162720875007
2205,2008-03-19,20480.79748716774,11545.162720875007
2206,2008-03-19,20480.79748716774,11545.162720875007
2207,2008-03-19,20480.79748716774,11545.162720875007
2208,2008-03-19,20480.79748716774,11545.162720875007
2209,2008-03-19,20230.79748716774,11295.162720875007
2210,2008-03-19,19730.79748716774,10795.162720875007
2211,2008-03-19,19730.79748716774,10795.162720875007
2212,2008-03-19,19730.79748716774,10795.162720875007
2213,2008-03-19,19230.79748716774,10295.162720875007
2214,2008-03-19,19230.79748716774,10295.162720875007
2215,2008-03-19,19433.20920120736,10480.347906060191
2216,2008-03-19,19183.20920120736,10230.347906060191
2217,2008-03-19,19183.20920120736,10230.347906060191
2218,2008-03-20,19183.20920120736,10230.347906060191
2219,2008-03-20,18933.20920120736,9980.347906060191
2220,2008-03-20,18683.20920120736,9730.347906060191
2221,2008-03-20,18683.20920120736,9730.347906060191
2222,2008-03-20,18183.20920120736,9230.347906060191
2223,2008-03-20,18183.20920120736,9230.347906060191
2224,2008-03-20,18183.20920120736,9230.347906060191
2225,2008-03-20,18183.20920120736,9230.347906060191
2226,2008-03-20,18183.20920120736,9230.347906060191
2227,2008-03-20,17933.20920120736,8980.347906060191
2228,2008-03-20,17933.20920120736,8980.347906060191
2229,2008-03-20,17933.20920120736,8980.347906060191
2230,2008-03-20,17933.20920120736,8980.347906060191
2231,2008-03-20,17933.20920120736,8980.347906060191
2232,2008-03-20,17933.20920120736,8980.347906060191
2233,2008-03-20,17683.20920120736,8730.347906060191
2234,2008-03-21,18266.992984991142,9280.347906060191
2235,2008-03-21,18266.992984991142,9280.347906060191
2236,2008-03-21,18266.992984991142,9280.347906060191
2237,2008-03-21,18528.067182111852,9518.44314415543
2238,2008-03-21,19428.067182111852,10368.44314415543
2239,2008-03-21,19428.067182111852,10368.44314415543
2240,2008-03-21,19428.067182111852,10368.44314415543
2241,2008-03-21,19178.067182111852,10118.44314415543
2242,2008-03-21,19439.141379232562,10356.538382250668
2243,2008-03-21,19439.141379232562,10356.538382250668
2244,2008-03-21,19439.141379232562,10356.538382250668
2245,2008-03-21,19439.141379232562,10356.538382250668
2246,2008-03-22,19439.141379232562,10356.538382250668
2247,2008-03-22,19439.141379232562,10356.538382250668
2248,2008-03-22,19439.141379232562,10356.538382250668
2249,2008-03-22,19626.880842834096,10528.952175354116
2250,2008-03-22,19626.880842834096,10528.952175354116
2251,2008-03-22,19626.880842834096,10528.952175354116
2252,2008-03-22,19376.880842834096,10278.952175354116
2253,2008-03-22,19592.5671173439,10478.952175354116
2254,2008-03-22,19592.5671173439,10478.952175354116
2255,2008-03-22,19092.5671173439,9978.952175354116
2256,2008-03-22,18592.5671173439,9478.952175354116
2257,2008-03-22,18592.5671173439,9478.952175354116
2258,2008-03-22,18592.5671173439,9478.952175354116
2259,2008-03-22,18342.5671173439,9228.952175354116
2260,2008-03-22,17842.5671173439,8728.952175354116
2261,2008-03-22,17842.5671173439,8728.952175354116
2262,2008-03-22,17842.5671173439,8728.952175354116
2263,2008-03-22,17592.5671173439,8478.952175354116
2264,2008-03-22,17592.5671173439,8478.952175354116
2265,2008-03-22,17592.5671173439,8478.952175354116
2266,2008-03-23,17342.5671173439,8228.952175354116
2267,2008-03-23,17342.5671173439,8228.952175354116
2268,2008-03-23,17092.5671173439,7978.952175354116
2269,2008-03-23,17092.5671173439,7978.952175354116
2270,2008-03-24,16742.5671173439,7628.952175354116
2271,2008-03-24,17197.016269886273,8066.452175354116
2272,2008-03-24,16697.016269886273,7566.452175354116
2273,2008-03-24,16697.016269886273,7566.452175354116
2274,2008-03-24,16197.016269886273,7066.452175354116
2275,2008-03-24,16197.016269886273,7066.452175354116
2276,2008-03-24,16197.016269886273,7066.452175354116
2277,2008-03-24,16197.016269886273,7066.452175354116
2278,2008-03-25,16554.12411302353,7403.952175354116
2279,2008-03-25,16554.12411302353,7403.952175354116
2280,2008-03-25,16554.12411302353,7403.952175354116
2281,2008-03-25,16304.124113023528,7153.952175354116
2282,2008-03-25,16849.578658478073,7653.952175354116
2283,2008-03-25,16849.578658478073,7653.952175354116
2284,2008-03-25,16849.578658478073,7653.952175354116
2285,2008-03-25,16849.578658478073,7653.952175354116
2286,2008-03-25,17563.794344752583,8328.952175354116
2287,2008-03-25,17563.794344752583,8328.952175354116
2288,2008-03-25,17563.794344752583,8328.952175354116
2289,2008-03-25,17848.516566974806,8591.452175354116
2290,2008-03-25,17848.516566974806,8591.452175354116
2291,2008-03-25,17848.516566974806,8591.452175354116
2292,2008-03-25,18045.286335719615,8774.698248652545
2293,2008-03-25,17795.286335719615,8524.698248652545
2294,2008-03-25,17795.286335719615,8524.698248652545
2295,2008-03-25,17795.286335719615,8524.698248652545
2296,2008-03-25,17795.286335719615,8524.698248652545
2297,2008-03-25,18128.19449898492,8837.198248652545
2298,2008-03-26,18128.19449898492,8837.198248652545
2299,2008-03-26,18400.921771712194,9087.198248652545
2300,2008-03-26,18400.921771712194,9087.198248652545
2301,2008-03-26,18550.494421284842,9226.087137541434
2302,2008-03-26,18550.494421284842,9226.087137541434
2303,2008-03-26,18550.494421284842,9226.087137541434
2304,2008-03-26,18050.494421284842,8726.087137541434
2305,2008-03-26,18050.494421284842,8726.087137541434
2306,2008-03-27,17800.494421284842,8476.087137541434
2307,2008-03-27,17800.494421284842,8476.087137541434
2308,2008-03-27,17800.494421284842,8476.087137541434
2309,2008-03-27,17800.494421284842,8476.087137541434
2310,2008-03-27,18329.906185990723,8976.087137541434
2311,2008-03-27,17979.906185990723,8626.087137541434
2312,2008-03-27,17979.906185990723,8626.087137541434
2313,2008-03-27,17979.906185990723,8626.087137541434
2314,2008-03-27,17479.906185990723,8126.087137541434
2315,2008-03-27,17621.042609138145,8248.894155085292
2316,2008-03-27,17621.042609138145,8248.894155085292
2317,2008-03-27,17621.042609138145,8248.894155085292
2318,2008-03-27,17121.042609138145,7748.894155085292
2319,2008-03-27,17121.042609138145,7748.894155085292
2320,2008-03-27,16871.042609138145,7498.894155085292
2321,2008-03-27,16871.042609138145,7498.894155085292
2322,2008-03-28,16371.042609138145,6998.894155085292
2323,2008-03-28,16371.042609138145,6998.894155085292
2324,2008-03-28,16371.042609138145,6998.894155085292
2325,2008-03-28,16573.454323177764,7184.079340270478
2326,2008-03-28,16573.454323177764,7184.079340270478
2327,2008-03-28,16573.454323177764,7184.079340270478
2328,2008-03-28,16573.454323177764,7184.079340270478
2329,2008-03-28,16573.454323177764,7184.079340270478
2330,2008-03-28,17906.787656511096,8434.079340270477
2331,2008-03-28,17556.787656511096,8084.079340270477
2332,2008-03-28,17056.787656511096,7584.079340270477
2333,2008-03-28,17056.787656511096,7584.079340270477
2334,2008-03-28,17056.787656511096,7584.079340270477
2335,2008-03-28,17056.787656511096,7584.079340270477
2336,2008-03-28,17056.787656511096,7584.079340270477
2337,2008-03-28,17056.787656511096,7584.079340270477
2338,2008-03-29,17056.787656511096,7584.079340270477
2339,2008-03-29,17056.787656511096,7584.079340270477
2340,2008-03-29,17237.947076800952,7750.746006937144
2341,2008-03-29,17237.947076800952,7750.746006937144
2342,2008-03-29,17237.947076800952,7750.746006937144
2343,2008-03-29,17237.947076800952,7750.746006937144
2344,2008-03-29,17237.947076800952,7750.746006937144
2345,2008-03-29,16987.947076800952,7500.746006937144
2346,2008-03-29,16987.947076800952,7500.746006937144
2347,2008-03-29,17249.021273921662,7738.841245032381
2348,2008-03-29,17249.021273921662,7738.841245032381
2349,2008-03-29,17866.574465411024,8313.841245032381
2350,2008-03-29,17866.574465411024,8313.841245032381
2351,2008-03-29,17616.574465411024,8063.841245032381
2352,2008-03-29,17616.574465411024,8063.841245032381
2353,2008-03-29,17366.574465411024,7813.841245032381
2354,2008-03-30,17116.574465411024,7563.841245032381
2355,2008-03-30,17116.574465411024,7563.841245032381
2356,2008-03-30,16616.574465411024,7063.841245032381
2357,2008-03-30,16616.574465411024,7063.841245032381
2358,2008-03-30,16616.574465411024,7063.841245032381
2359,2008-03-30,16616.574465411024,7063.841245032381
2360,2008-03-30,16616.574465411024,7063.841245032381
2361,2008-03-30,16616.574465411024,7063.841245032381
2362,2008-03-30,16366.574465411024,6813.841245032381
2363,2008-03-30,16366.574465411024,6813.841245032381
2364,2008-03-30,15866.574465411024,6313.841245032381
2365,2008-03-30,15866.574465411024,6313.841245032381
2366,2008-03-30,15366.574465411024,5813.841245032381
2367,2008-03-30,15366.574465411024,5813.841245032381
2368,2008-03-30,15366.574465411024,5813.841245032381
2369,2008-03-30,15366.574465411024,5813.841245032381
2370,2008-03-31,15366.574465411024,5813.841245032381
2371,2008-03-31,15554.313929012556,5986.25503813583
2372,2008-03-31,15923.544698243326,6336.25503813583
2373,2008-03-31,15923.544698243326,6336.25503813583
2374,2008-04-01,15923.544698243326,6336.25503813583
2375,2008-04-01,15673.544698243326,6086.25503813583
2376,2008-04-01,15673.544698243326,6086.25503813583
2377,2008-04-01,15673.544698243326,6086.25503813583
2378,2008-04-01,15673.544698243326,6086.25503813583
2379,2008-04-01,15673.544698243326,6086.25503813583
2380,2008-04-01,15673.544698243326,6086.25503813583
2381,2008-04-01,15423.544698243326,5836.25503813583
2382,2008-04-01,15423.544698243326,5836.25503813583
2383,2008-04-01,15173.544698243326,5586.25503813583
2384,2008-04-01,15173.544698243326,5586.25503813583
2385,2008-04-01,14923.544698243326,5336.25503813583
2386,2008-04-01,15184.618895364034,5574.350276231067
2387,2008-04-01,15184.618895364034,5574.350276231067
2388,2008-04-01,15184.618895364034,5574.350276231067
2389,2008-04-01,15184.618895364034,5574.350276231067
