good_date,net balance,SP,BofA,MCSI
2008-11-19,-3.24,1.22,0.25,-1.33
2008-11-20,-1.49,0.36,-0.04,-1.81
2008-11-21,-8.32,-0.28,0.01,-0.55
2008-11-22,3.84,-2.3,0.38,-0.96
2008-11-23,5.86,1.43,0.15,-0.34
2008-11-24,-1.65,-1.43,0.25,-1.19
2008-11-25,-3.36,-0.67,-0.06,-1.27
2008-11-26,1.51,0.88,-0.76,1.03
2008-11-27,3.6,0.47,0.45,0.19
2008-11-28,0.46,1.04,0.09,0.7
2008-11-29,-3.01,0,-0.48,-0.5
2008-11-30,-4.23,0.4,-0.53,1.43
2008-12-01,1.38,-0.18,-0.19,1.97
2008-12-02,5.35,0.72,0.09,-0.84
2008-12-03,-2.95,0.25,-0.12,-1.12
2008-12-04,2.9,-0.93,-0.2,-0.97
2008-12-05,-0.96,0.94,0.81,-0.41
2008-12-06,-2.05,1.05,-0.45,0.6
2008-12-07,5.03,0.19,0.53,0.16
2008-12-08,-5.24,0.52,-0.08,0.76
2008-12-09,4.83,0.41,-0.02,0.12
2008-12-10,2.46,-0.37,0.34,-0.3
2008-12-11,-4.51,0.43,0.22,-0.79
2008-12-12,5.91,0,-0.08,-0.48
2008-12-13,3.63,1.01,-0.13,-0.53
2008-12-14,-6.2,0.51,-0.19,-0.43
2008-12-15,1,-0.5,0.75,-0.61
2008-12-16,-3.22,1.03,-0.06,0.07
2008-12-17,10.64,-0.07,-0.28,-0.38
2008-12-18,2.58,0.17,0.47,-1.92
2008-12-19,-6.74,-0.83,-0.27,1.19
2008-12-20,-9.44,-0.29,0.27,-0.67
2008-12-21,8.6,-0.06,0.23,1.68
2008-12-22,2.42,#N/A,0.18,-0.84
2008-12-23,0.28,#N/A,-0.25,-0.51
2008-12-26,-0.78,-0.7,0.17,-0.25
2008-12-27,2.13,0.37,-0.28,0.64
2008-12-28,4.39,-1.43,-0.18,-1.98
2008-12-29,-7.02,0.59,0.52,0.53
2008-12-30,-6.33,-0.55,-0.02,0
2008-12-31,-4.95,-1.38,0.11,-1.11
2009-01-01,4.98,0.85,-0.12,-0.66
2009-01-02,-5.4,1.28,-0.08,-1.57
2009-01-03,-1.28,-0.03,0.02,-0.37
2009-01-04,5.4,-1.02,0.01,1.34
2009-01-05,-2.63,-0.84,0.39,-0.82
2009-01-06,-3.54,1.48,0.21,0.46
2009-01-07,-8.04,-0.59,0.16,-0.7
2009-01-08,0,0.76,-0.08,-0.01
2009-01-09,10.53,0.78,0.07,3.77
2009-01-10,-3.41,-1.39,0.43,-0.87
2009-01-11,-22.48,-2.5,-0.24,-0.38
2009-01-12,1.81,0.27,-0.07,0.94
2009-01-13,8.32,-1.21,-0.76,-0.74
2009-01-14,-1.99,0.95,-0.2,-0.88
2009-01-15,-6.68,0.96,-2.34,0.84
2009-01-16,5.03,0.62,-0.53,-0.88
2009-01-17,5.38,-0.43,-1.77,0.59
2009-01-18,13.15,0.54,-0.27,2.37
2009-01-19,12.79,-0.05,0.87,-0.9
2009-01-20,1.76,0.08,-0.38,0.08
2009-01-21,15.98,#N/A,0.52,-2.36
2009-01-27,5.02,#N/A,-1.44,0.56
2009-01-28,-7.75,0.53,-0.9,0.07
2009-01-29,3.27,0.72,0.74,0.58
2009-01-30,3.66,0.02,-1.12,0.54
2009-01-31,-2.93,1.36,-0.61,0.44
2009-02-01,5.34,0.31,1.01,0.89
2009-02-02,-1.35,0.14,0.17,-1.72
2009-02-03,4.2,-0.37,0.55,-1.03
2009-02-04,1.27,0.28,0.11,0.53
2009-02-05,0.31,0.5,-1.15,-1.25
2009-02-06,7.07,0.16,-0.55,1.36
2009-02-07,2.88,0.2,-1.78,0.75
2009-02-08,5.87,-0.19,0.05,0.25
2009-02-09,-5.54,-0.38,0.63,-0.76
2009-02-10,-0.1,0.26,0.49,-0.24
2009-02-11,0.08,0.08,-0.4,0.19
2009-02-12,4.85,-0.37,-0.65,-0.5
2009-02-13,5.68,0.04,0.39,2.52
2009-02-14,-5.61,-0.01,0.86,0.01
2009-02-15,3.97,1.25,0.21,-1.56
2009-02-16,4.15,0.16,0.16,-2.67
2009-02-17,-1.83,-0.15,-1.18,1.66
2009-02-18,-2.34,-0.57,-0.32,-0.01
2009-02-19,-2.93,-0.38,0.1,-2.46
2009-02-20,-6.99,0.39,-0.07,-4.43
2009-02-21,7.31,-0.36,0.01,0.99
2009-02-22,4.32,-0.12,-0.04,-0.15
2009-02-23,3.06,0.28,0.61,0.29
2009-02-24,1.13,-0.52,0.96,-2.44
2009-02-25,-3.52,-1.43,0.69,-2.53
2009-02-26,-1.06,-0.33,0,0.56
2009-02-27,0.92,-0.59,-0.25,-1.27
2009-02-28,-2.09,0.38,0.59,2.57
2009-03-01,2.54,-0.58,0.01,1.95
2009-03-02,6.18,0.86,0.86,1.72
2009-03-03,-1,0.39,-0.36,-0.48
2009-03-04,-0.62,-0.4,0.39,-0.81
2009-03-05,-0.08,-1.59,0.29,0.16
2009-03-06,9.71,0.27,0.71,-0.72
2009-03-07,-0.15,0.2,0.17,1.71
2009-03-08,8.34,-0.32,0.37,1.01
2009-03-09,-0.38,#N/A,-0.85,-0.4
2009-03-10,1.19,#N/A,0.15,1.31
2009-03-11,-0.37,0.81,0.86,1.88
2009-03-12,-0.52,0.12,0.52,-0.51
2009-03-13,2.81,0.01,0.01,0.59
2009-03-14,-1.67,1,0.17,-1.8
2009-03-15,4.9,0.73,0.03,-0.07
2009-03-16,-5.76,0.31,0.97,0.39
2009-03-17,-1.72,-0.34,0.09,-0.52
2009-03-18,2.27,0.27,0.29,-1.92
2009-03-19,-1.11,0.57,0.47,-2.39
2009-03-20,-3.08,0.42,-0.33,-0.16
2009-03-21,-4.45,1.22,-0.2,1.32
2009-03-22,-3.92,-0.18,0.6,-2.48
2009-03-23,-2.72,-0.72,0.03,-1.92
2009-03-24,0.63,-0.47,0.38,-0.43
2009-03-25,-0.64,-0.26,0.2,3.14
2009-03-26,0.67,-0.27,0.3,-1.19
2009-03-27,3.23,0.35,0.92,3.43
2009-03-28,10.82,-0.41,0.94,2.27
2009-03-29,5.56,-0.6,1.1,1.65
2009-03-30,-1.56,0.8,0,-0.41
2009-03-31,-3.33,-0.07,0,-0.68
2009-04-01,-4.52,-0.9,-0.1,-2.54
2009-04-02,-0.14,0.71,0.1,0.7
2009-04-03,-7.23,-0.85,#N/A,1.28
2009-04-04,-2.51,-1.23,#N/A,-0.79
2009-04-05,3.5,0.06,0.32,1.46
2009-04-06,8.69,2.18,0.22,0.18
2009-04-07,2.71,0.63,-0.33,1.03
2009-04-08,-6.15,0.41,#N/A,-1.81
2009-04-09,3.17,-0.71,#N/A,-0.01
2009-04-10,-1.46,1.38,-0.06,1.12
2009-04-11,-5.8,0.67,-0.94,-0.54
2009-04-12,2.41,0.65,0.11,-1.62
2009-04-15,0.03,0.01,-0.27,1.22
2009-04-16,-0.08,0.57,0.22,-0.19
2009-04-17,-3.76,-0.47,0.23,-1.08
2009-04-18,0.16,0.33,0.06,0.07
2009-04-19,-2.93,0.44,-0.05,-1.26
2009-04-20,2.19,0.13,-0.33,1.89
2009-04-21,-0.34,0.56,0.17,0.74
2009-04-22,-0.64,-0.49,0.05,-0.96
2009-04-23,2.65,-0.38,-0.55,-0.08
2009-04-24,-2.21,0.29,-0.97,1.65
2009-04-25,0,0.36,-0.12,-0.86
2009-04-26,-0.44,-0.28,-0.32,1.48
2009-04-27,-0.99,0.43,0,-0.46
2009-04-28,-4.02,-1.32,0.76,-1.36
2009-04-30,2.79,1.34,-0.42,-0.24
2009-05-01,0,0.07,-0.75,0.34
2009-05-02,-2.04,-0.24,0.02,-1.57
2009-05-03,2.97,0.81,0,1.22
2009-05-04,2.25,0.48,0.58,-0.03
2009-05-05,0,0.42,-0.82,0.14
2009-05-06,0,-0.37,-0.33,-1.94
2009-05-07,3.43,-0.2,0.25,-2.03
2009-05-08,1.29,-0.36,-0.29,-0.87
2009-05-09,5.34,0.81,-0.04,0.79
